"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R93KKCSZ","journalArticle","2013","Ngô, Thanh-Lan","[Review of the effects of mindfulness meditation on mental and physical health and its mechanisms of action]","Santé Mentale Au Québec","","0383-6320","","","Interventions based on mindfulness have become increasingly popular. This article reviews the empirical literature on its effects on mental and physical health, discusses presumed mechanisms of action as well as its proposed neurobiological underpinning. Mindfulness is associated with increased well-being as well as reduced cognitive reactivity and behavioral avoidance. It seems to contribute to enhance immune functions, diminish inflammation, diminish the reactivity of the autonomic nervous system, increase telomerase activity, lead to higher levels of plasmatic melatonin and serotonin. It enhances the quality of life for patients suffering from chronic pain, fibromylagia and HIV infection. It facilitates adaptation to the diagnosis of cancer and diabetes. It seems to lead to symptomatic improvement in irritable bowel syndrome, chronic fatigue syndrome, hot flashes, insomnia, stress related hyperphagia. It diminishes craving in substance abuse. The proposed mechanism of action are enhanced metacognitive conscience, interoceptive exposure, experiential acceptance, self-management, attention control, memory, relaxation. Six mechanism of actions for which neurological underpinnings have been published are: attention regulation (anterior cingulate cortex), body awareness (insula, temporoparietal junction), emotion regulation (modulation of the amygdala by the lateral prefrontal cortex), cognitive re-evaluation (activation of the dorsal medial prefrontal cortex or diminished activity in prefrontal regions), exposure/extinction/reconsolidation (ventromedial prefrontal cortex, hippocampus, amygdala) and flexible self-concept (prefrontal median cortex, posterior cingulated cortex, insula, temporoparietal junction). The neurobiological effects of meditation are described. These are: (1) the deactivation of the default mode network that generates spontaneous thoughts, contributes to the maintenance of the autobiographical self and is associated with anxiety and depression; (2) the anterior cingulate cortex that underpins attention functions; (3) the anterior insula associated with the perception of visceral sensation, the detection of heartbeat and respiratory rate, and the affective response to pain; (4) the posterior cingulate cortex which helps to understand the context from which a stimulus emerges; (5) the temporoparietal junction which assumes a central role in empathy and compassion; (6) the amygdala implicated in fear responses. The article ends with a short review of the empirical basis supporting the efficacy for mindfulness based intervention and suggested directions for future research.","2013","41915.82462962963","41915.82462962963","","19-34","","2","38","","Sante Ment Que","","","","","","","","fre","","","","","NCBI PubMed","","PMID: 24719001","","","http://www.ncbi.nlm.nih.gov/pubmed/24719001","","Health; Humans; Meditation; Mental Health; Mindfulness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAC2V2UJ","journalArticle","2014","Schutte, Nicola S.; Malouff, John M.","A meta-analytic review of the effects of mindfulness meditation on telomerase activity","Psychoneuroendocrinology","","1873-3360","10.1016/j.psyneuen.2013.12.017","","The enzyme telomerase, through its influence on telomere length, is associated with health and mortality. Four pioneering randomized control trials, including a total of 190 participants, provided information on the effect of mindfulness meditation on telomerase. A meta-analytic effect size of d=0.46 indicated that mindfulness meditation leads to increased telomerase activity in peripheral blood mononuclear cells. These results suggest the need for further large-scale trials investigating optimal implementation of mindfulness meditation to facilitate telomerase functioning.","41730","41915.82462962963","41915.82462962963","","45-48","","","42","","Psychoneuroendocrinology","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 24636500","","","http://www.ncbi.nlm.nih.gov/pubmed/24636500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HKT3RH6","journalArticle","2013","Lavretsky, H.; Epel, E. S.; Siddarth, P.; Nazarian, N.; Cyr, N. St; Khalsa, D. S.; Lin, J.; Blackburn, E.; Irwin, M. R.","A pilot study of yogic meditation for family dementia caregivers with depressive symptoms: effects on mental health, cognition, and telomerase activity","International Journal of Geriatric Psychiatry","","1099-1166","10.1002/gps.3790","","BACKGROUND: This study examined the effects of brief daily yogic meditation on mental health, cognitive functioning, and immune cell telomerase activity in family dementia caregivers with mild depressive symptoms. METHODS: Thirty-nine family dementia caregivers (mean age 60.3 years old (SD = 10.2)) were randomized to practicing Kirtan Kriya or listening to relaxation music for 12 min per day for 8 weeks. The severity of depressive symptoms, mental and cognitive functioning were assessed at baseline and follow-up. Telomerase activity in peripheral blood mononuclear cells (PMBC) was examined in peripheral PBMC pre-intervention and post-intervention. RESULTS: The meditation group showed significantly lower levels of depressive symptoms and greater improvement in mental health and cognitive functioning compared with the relaxation group. In the meditation group, 65.2% showed 50% improvement on the Hamilton Depression Rating scale and 52% of the participants showed 50% improvement on the Mental Health Composite Summary score of the Short Form-36 scale compared with 31.2% and 19%, respectively, in the relaxation group (p < 0.05). The meditation group showed 43% improvement in telomerase activity compared with 3.7% in the relaxation group (p = 0.05). CONCLUSION: This pilot study found that brief daily meditation practices by family dementia caregivers can lead to improved mental and cognitive functioning and lower levels of depressive symptoms. This improvement is accompanied by an increase in telomerase activity suggesting improvement in stress-induced cellular aging. These results need to be confirmed in a larger sample.","41275","41915.82462962963","41915.82462962963","","57-65","","1","28","","Int J Geriatr Psychiatry","A pilot study of yogic meditation for family dementia caregivers with depressive symptoms","","","","","","","eng","","","","","NCBI PubMed","","PMID: 22407663  PMCID: PMC3423469","","","http://www.ncbi.nlm.nih.gov/pubmed/22407663","","Aged; Caregivers; Cognition; Dementia; Depressive Disorder; Family; Female; Humans; Leukocytes, Mononuclear; Male; Meditation; Middle Aged; Pilot Projects; Telomerase; Yoga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A9RFJNB6","journalArticle","2011","Jacobs, Tonya L.; Epel, Elissa S.; Lin, Jue; Blackburn, Elizabeth H.; Wolkowitz, Owen M.; Bridwell, David A.; Zanesco, Anthony P.; Aichele, Stephen R.; Sahdra, Baljinder K.; MacLean, Katherine A.; King, Brandon G.; Shaver, Phillip R.; Rosenberg, Erika L.; Ferrer, Emilio; Wallace, B. Alan; Saron, Clifford D.","Intensive meditation training, immune cell telomerase activity, and psychological mediators","Psychoneuroendocrinology","","1873-3360","10.1016/j.psyneuen.2010.09.010","","BACKGROUND: Telomerase activity is a predictor of long-term cellular viability, which decreases with chronic psychological distress (Epel et al., 2004). Buddhist traditions claim that meditation decreases psychological distress and promotes well-being (e.g., Dalai Lama and Cutler, 2009). Therefore, we investigated the effects of a 3-month meditation retreat on telomerase activity and two major contributors to the experience of stress: Perceived Control (associated with decreased stress) and Neuroticism (associated with increased subjective distress). We used mediation models to test whether changes in Perceived Control and Neuroticism explained meditation retreat effects on telomerase activity. In addition, we investigated whether two qualities developed by meditative practice, increased Mindfulness and Purpose in Life, accounted for retreat-related changes in the two stress-related variables and in telomerase activity. METHODS: Retreat participants (n=30) meditated for ∼6 h daily for 3 months and were compared with a wait-list control group (n=30) matched for age, sex, body mass index, and prior meditation experience. Retreat participants received instruction in concentrative meditation techniques and complementary practices used to cultivate benevolent states of mind (Wallace, 2006). Psychological measures were assessed pre- and post-retreat. Peripheral blood mononuclear cell samples were collected post-retreat for telomerase activity. Because there were clear, a priori hypotheses, 1-tailed significance criteria were used throughout. RESULTS: Telomerase activity was significantly greater in retreat participants than in controls at the end of the retreat (p<0.05). Increases in Perceived Control, decreases in Neuroticism, and increases in both Mindfulness and Purpose in Life were greater in the retreat group (p<0.01). Mediation analyses indicated that the effect of the retreat on telomerase was mediated by increased Perceived Control and decreased Neuroticism. In turn, changes in Perceived Control and Neuroticism were both partially mediated by increased Mindfulness and Purpose in Life. Additionally, increases in Purpose in Life directly mediated the telomerase group difference, whereas increases in Mindfulness did not. CONCLUSIONS: This is the first study to link meditation and positive psychological change with telomerase activity. Although we did not measure baseline telomerase activity, the data suggest that increases in perceived control and decreases in negative affectivity contributed to an increase in telomerase activity, with implications for telomere length and immune cell longevity. Further, Purpose in Life is influenced by meditative practice and directly affects both perceived control and negative emotionality, affecting telomerase activity directly as well as indirectly.","40695","41915.82462962963","41915.82462962963","","664-681","","5","36","","Psychoneuroendocrinology","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 21035949","","","http://www.ncbi.nlm.nih.gov/pubmed/21035949","","Adult; Aged; Anxiety; Female; Humans; Immune System; Male; Meditation; Middle Aged; Physical Education and Training; Stress, Psychological; Telomerase; Treatment Outcome; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PA9FB67","journalArticle","2010","Falus, András; Marton, István; Borbényi, Erika; Tahy, Adám; Karádi, Pál; Aradi, János; Stauder, Adrienne; Kopp, Mária","[The 2009 Nobel Prize in Medicine and its surprising message: lifestyle is associated with telomerase activity]","Orvosi Hetilap","","0030-6002","10.1556/OH.2010.28899","","The 2009 Nobel Prize in Physiology and Medicine was awarded to three scientists for their pioneer research on telomeres - and the enzyme that forms them - telomerase. Their work highlighted the considerable connection between the length of telomeres and intensive changes in lifestyle and nutrition (Ornish method) as well as behavioral and psychological factors. In this review the various elements of molecular, cell biological, nutritional and lifestyle changes are introduced and discussed.","40342","41915.82462962963","41915.82462962963","","965-970","","24","151","","Orv Hetil","[The 2009 Nobel Prize in Medicine and its surprising message","","","","","","","hun","","","","","NCBI PubMed","","PMID: 20519179","","","http://www.ncbi.nlm.nih.gov/pubmed/20519179","","Breathing Exercises; Cell Aging; Cell Transformation, Neoplastic; Dietary Carbohydrates; Dietary Fats; Dietary Proteins; Exercise; Food Habits; Genomic Instability; Humans; Leukocytes, Mononuclear; Life Style; Meditation; Nobel Prize; Relaxation Therapy; Self-Help Groups; Telomerase; Telomere; Yoga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ENGR3GN","journalArticle","2014","Hur, Sun; Kim, Seon-Rye","The Effects of Exercise Therapy on CVD Risk Factors in Women","Journal of Physical Therapy Science","","0915-5287","10.1589/jpts.26.1367","","[Purpose] The purpose of this study was to search for the association of Type D personality and CVD risk factors through comparison of the association of exercise participation with CVD risk factors in women. [Subjects] The research subjects were randomly assigned to four groups: Type D+Exercise (n=12), Type D+non-exercise (n=12), non-Type D+Exercise (n=12), and non-Type D+non-exercise (n=10). The study consisted of 46 participants. [Methods] An aerobic exercise program and meditation were conducted in parallel for 10 months. Stretching was performed for 10 min as a warm-up, and then walking and running on a treadmill at 60 to 70% of HRmax were performed for 40 min three times a week. Blood samples were processed according to standard laboratory procedures. The concentrations of TG and HDL cholesterol were determined enzymatically using a clinical chemistry analyzer (Hitachi High-Technologies Corporation, Tokyo, Japan). [Results] The weight, percentage of body fat, waist circumference, triglyceride concentration, HDL cholesterol concentration, systolic blood pressure, and diastolic blood pressure showed a significant difference between measurement times in the exercise groups. [Conclusion] In conclusion, there were significant differences between groups in terms of cardiovascular disease risk factors.","41883","41916.06853009259","41916.06853009259","","1367-1370","","9","26","","J Phys Ther Sci","","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 25276017","","","http://www.ncbi.nlm.nih.gov/pubmed/25276017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWI3TP2E","journalArticle","2014","Low, Andrew","Embracing spirituality through the practice of meditation","Nursing Standard (Royal College of Nursing (Great Britain): 1987)","","0029-6570","10.7748/ns.29.5.34.s45","","It is good to see the subject of spirituality in healthcare education being addressed (Art & Science September 17).","41913","41916.06853009259","41916.06853009259","","34-35","","5","29","","Nurs Stand","","","","","","","","eng","","","","","NCBI PubMed","","PMID: 25270475","","","http://www.ncbi.nlm.nih.gov/pubmed/25270475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJGGCU9A","journalArticle","2014","Roy, David J.","""They touched hands again"": a meditation on reconciliation","Journal of Palliative Care","","0825-8597","","","","2014","41916.06853009259","41916.06853009259","","131-132","","3","30","","J Palliat Care","""They touched hands again""","","","","","","","eng","","","","","NCBI PubMed","","PMID: 25265735","","","http://www.ncbi.nlm.nih.gov/pubmed/25265735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3452SNJ","journalArticle","2014","Crane, Catherine; Crane, Rebecca S.; Eames, Catrin; Fennell, Melanie J. V.; Silverton, Sarah; Williams, J. Mark G.; Barnhofer, Thorsten","The effects of amount of home meditation practice in Mindfulness Based Cognitive Therapy on hazard of relapse to depression in the Staying Well after Depression Trial","Behaviour Research and Therapy","","1873-622X","10.1016/j.brat.2014.08.015","","Few empirical studies have explored the associations between formal and informal mindfulness home practice and outcome in Mindfulness-based Cognitive Therapy (MBCT). In this study ninety-nine participants randomised to MBCT in a multi-centre randomised controlled trial completed self-reported ratings of home practice over 7 treatment weeks. Recurrence of Major Depression was assessed immediately after treatment, and at 3, 6, 9, and 12-months post-treatment. Results identified a significant association between mean daily duration of formal home practice and outcome and additionally indicated that participants who reported that they engaged in formal home practice on at least 3 days a week during the treatment phase were almost half as likely to relapse as those who reported fewer days of formal practice. These associations were independent of the potentially confounding variable of participant-rated treatment plausibility. The current study identified no significant association between informal home practice and outcome, although this may relate to the inherent difficulties in quantifying informal home mindfulness practice. These findings have important implications for clinicians discussing mindfulness-based interventions with their participants, in particular in relation to MBCT, where the amount of participant engagement in home practice appears to have a significant positive impact on outcome.","41881","41916.06853009259","41916.06853009259","","17-24","","","63C","","Behav Res Ther","","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 25261599","","","http://www.ncbi.nlm.nih.gov/pubmed/25261599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2EAZ2T3","journalArticle","2014","Shumer, Gregory; Warber, Sara; Motohara, Satoko; Yajima, Ayaka; Plegue, Melissa; Bialko, Matthew; Iida, Tomoko; Sano, Kiyoshi; Amenomori, Masaki; Tsuda, Tsukasa; Fetters, Michael D.","Complementary and alternative medicine use by visitors to rural Japanese family medicine clinics: results from the international complementary and alternative medicine survey","BMC complementary and alternative medicine","","1472-6882","10.1186/1472-6882-14-360","","BACKGROUND: There is growing interest in the use of complementary and alternative medicine (CAM) throughout the world, however previous research done in Japan has focused primarily on CAM use in major cities. The purpose of this study was to develop and distribute a Japanese version of the International Complementary and Alternative Medicine Questionnaire (I-CAM-Q) to assess the use of CAM among people who visit rural Japanese family medicine clinics. METHODS: Using a Japanese version of the International Complementary and Alternative Medicine Questionnaire (I-CAM-Q), a cross-sectional survey was conducted in three rural family medicine clinics. All patients and those accompanying patients who met inclusion criteria were eligible to participate. Data were entered into SPSS Statistics and analyzed for use by age, gender, and location. RESULTS: Of the 519 respondents who participated in the project, 415 participants reported CAM use in the past 12 months (80.0%). When prayer is excluded, the prevalence of CAM use drops to 77.3% in the past year, or 403 respondents. The most common forms of CAM used by respondents were pain relief pads (n = 170, 32.8%), herbal medicines/supplements (n = 167, 32.2%), and massage by self or family (n = 166, 32.0%). Female respondents, individuals with higher levels of education, and those with poorer overall health status were more likely to use CAM than respondents without these characteristics. Only 22.8% of CAM therapies used were reported to physicians by survey participants. CONCLUSIONS: These data indicate that CAM use in rural Japan is common. The results are consistent with previous studies that show that Japanese individuals are more interested in forms of CAM such as pain relief pads and massage, than in mind-body forms of CAM like relaxation and meditation. Due to the high utilization of certain CAM practices, and given that most CAM users do not disclose their CAM use to their doctors, we conclude that physicians in rural Japan would benefit by asking about CAM use during patient interviews, and by familiarizing themselves with the potential benefits and risks of commonly used CAM modalities.","41907","41916.06853009259","41916.06853009259","","360","","1","14","","BMC Complement Altern Med","Complementary and alternative medicine use by visitors to rural Japanese family medicine clinics","","","","","","","ENG","","","","","NCBI PubMed","","PMID: 25256591","","","http://www.ncbi.nlm.nih.gov/pubmed/25256591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
